;time;target;temp;weather;wind;day;month;year;weekday;type_day;prev_day;prev_hour
95;23;546.439;2.2;1189;0;4;1;2019;4;1;538.755;571.615
96;0;514.853;2.8;1189;0;5;1;2019;5;1;506.119;546.439
97;1;481.142;2.8;1189;0;5;1;2019;5;1;473.726;514.853
98;2;454.754;2.8;1189;0;5;1;2019;5;1;449.395;481.142
99;3;440.151;3.4;1189;0;5;1;2019;5;1;435.532;454.754
100;4;432.254;3.4;1189;0;5;1;2019;5;1;427.882;440.151
101;5;428.926;3.4;1189;0;5;1;2019;5;1;426.407;432.254
102;6;431.34;2.4;1006;0;5;1;2019;5;1;433.644;428.926
103;7;444.717;2.4;1006;0;5;1;2019;5;1;449.355;431.34
104;8;469.888;2.4;1006;0;5;1;2019;5;1;477.349;444.717
105;9;503.824;1.4;1003;0;5;1;2019;5;1;518.861;469.888
106;10;533.122;1.4;1003;0;5;1;2019;5;1;550.57;503.824
107;11;565.424;1.4;1003;0;5;1;2019;5;1;581.451;533.122
108;12;579.819;-0.2;1009;0;5;1;2019;5;1;593.408;565.424
109;13;581.549;-0.2;1009;0;5;1;2019;5;1;589.397;579.819
110;14;580.582;-0.2;1009;0;5;1;2019;5;1;584.555;581.549
111;15;580.592;0.0;1219;0;5;1;2019;5;1;580.159;580.582
112;16;582.877;0.0;1219;0;5;1;2019;5;1;577.593;580.592
113;17;599.62;0.0;1219;0;5;1;2019;5;1;591.67;582.877
114;18;612.847;-0.7;1009;0;5;1;2019;5;1;611.004;599.62
115;19;609.084;-0.7;1009;0;5;1;2019;5;1;605.73;612.847
116;20;597.462;-0.7;1009;0;5;1;2019;5;1;595.028;609.084
117;21;586.569;-1.6;1009;0;5;1;2019;5;1;586.155;597.462
118;22;574.002;-1.6;1009;0;5;1;2019;5;1;571.615;586.569
119;23;549.747;-1.6;1009;0;5;1;2019;5;1;546.439;574.002
120;0;518.851;-2.0;1009;0;6;1;2019;6;1;514.853;549.747
121;1;487.836;-2.0;1009;0;6;1;2019;6;1;481.142;518.851
122;2;463.039;-2.0;1009;0;6;1;2019;6;1;454.754;487.836
123;3;446.956;-2.8;1009;0;6;1;2019;6;1;440.151;463.039
124;4;438.879;-2.8;1009;0;6;1;2019;6;1;432.254;446.956
125;5;435.766;-2.8;1009;0;6;1;2019;6;1;428.926;438.879
126;6;441.252;-3.6;1000;0;6;1;2019;6;1;431.34;435.766
127;7;455.889;-3.6;1000;0;6;1;2019;6;1;444.717;441.252
128;8;476.991;-3.6;1000;0;6;1;2019;6;1;469.888;455.889
129;9;506.962;-3.7;1000;0;6;1;2019;6;1;503.824;476.991
130;10;535.603;-3.7;1000;0;6;1;2019;6;1;533.122;506.962
131;11;566.499;-3.7;1000;0;6;1;2019;6;1;565.424;535.603
132;12;576.889;-2.8;1000;0;6;1;2019;6;1;579.819;566.499
133;13;575.282;-2.8;1000;0;6;1;2019;6;1;581.549;576.889
134;14;570.88;-2.8;1000;0;6;1;2019;6;1;580.582;575.282
135;15;568.857;-4.1;1000;0;6;1;2019;6;1;580.592;570.88
136;16;567.818;-4.1;1000;0;6;1;2019;6;1;582.877;568.857
137;17;584.424;-4.1;1000;0;6;1;2019;6;1;599.62;567.818
138;18;615.803;-3.9;1000;0;6;1;2019;6;1;612.847;584.424
139;19;610.037;-3.9;1000;0;6;1;2019;6;1;609.084;615.803
140;20;595.185;-3.9;1000;0;6;1;2019;6;1;597.462;610.037
141;21;584.211;-3.5;1000;0;6;1;2019;6;1;586.569;595.185
142;22;569.967;-3.5;1000;0;6;1;2019;6;1;574.002;584.211
143;23;550.543;-3.5;1000;0;6;1;2019;6;1;549.747;569.967
144;0;523.761;-3.2;1009;0;7;1;2019;0;1;518.851;550.543
145;1;494.211;-3.2;1009;0;7;1;2019;0;1;487.836;523.761
146;2;470.672;-3.2;1009;0;7;1;2019;0;1;463.039;494.211
147;3;455.73;-2.5;1009;0;7;1;2019;0;1;446.956;470.672
148;4;444.84;-2.5;1009;0;7;1;2019;0;1;438.879;455.73
149;5;441.119;-2.5;1009;0;7;1;2019;0;1;435.766;444.84
150;6;443.111;-2.2;1009;0;7;1;2019;0;1;441.252;441.119
151;7;457.155;-2.2;1009;0;7;1;2019;0;1;455.889;443.111
152;8;474.355;-2.2;1009;0;7;1;2019;0;1;476.991;457.155
153;9;499.64;-2.7;1009;0;7;1;2019;0;1;506.962;474.355
154;10;527.261;-2.7;1009;0;7;1;2019;0;1;535.603;499.64
155;11;559.133;-2.7;1009;0;7;1;2019;0;1;566.499;527.261
156;12;572.396;-1.0;1009;0;7;1;2019;0;1;576.889;559.133
157;13;573.392;-1.0;1009;0;7;1;2019;0;1;575.282;572.396
158;14;571.958;-1.0;1009;0;7;1;2019;0;1;570.88;573.392
159;15;567.706;0.0;1009;0;7;1;2019;0;1;568.857;571.958
160;16;566.988;0.0;1009;0;7;1;2019;0;1;567.818;567.706
161;17;578.985;0.0;1009;0;7;1;2019;0;1;584.424;566.988
162;18;600.381;0.3;1009;0;7;1;2019;0;1;615.803;578.985
163;19;598.616;0.3;1009;0;7;1;2019;0;1;610.037;600.381
164;20;591.654;0.3;1009;0;7;1;2019;0;1;595.185;598.616
165;21;584.101;-0.1;1009;0;7;1;2019;0;1;584.211;591.654
166;22;572.991;-0.1;1009;0;7;1;2019;0;1;569.967;584.101
167;23;549.779;-0.1;1009;0;7;1;2019;0;1;550.543;572.991
168;0;517.676;-0.4;1219;0;8;1;2019;1;1;523.761;549.779
169;1;485.831;-0.4;1219;0;8;1;2019;1;1;494.211;517.676
170;2;461.959;-0.4;1219;0;8;1;2019;1;1;470.672;485.831
171;3;449.592;-1.1;1219;0;8;1;2019;1;1;455.73;461.959
172;4;440.941;-1.1;1219;0;8;1;2019;1;1;444.84;449.592
173;5;438.613;-1.1;1219;0;8;1;2019;1;1;441.119;440.941
174;6;441.516;-1.5;1219;3;8;1;2019;1;1;443.111;438.613
175;7;460.622;-1.5;1219;3;8;1;2019;1;1;457.155;441.516
176;8;490.891;-1.5;1219;3;8;1;2019;1;1;474.355;460.622
177;9;527.55;-1.7;1219;3;8;1;2019;1;1;499.64;490.891
178;10;562.061;-1.7;1219;3;8;1;2019;1;1;527.261;527.55
179;11;595.013;-1.7;1219;3;8;1;2019;1;1;559.133;562.061
180;12;609.145;-0.7;1219;3;8;1;2019;1;1;572.396;595.013
181;13;612.296;-0.7;1219;3;8;1;2019;1;1;573.392;609.145
182;14;607.071;-0.7;1219;3;8;1;2019;1;1;571.958;612.296
183;15;600.974;-0.5;1219;3;8;1;2019;1;1;567.706;607.071
184;16;601.415;-0.5;1219;3;8;1;2019;1;1;566.988;600.974
185;17;612.895;-0.5;1219;3;8;1;2019;1;1;578.985;601.415
186;18;636.366;-0.8;1009;0;8;1;2019;1;1;600.381;612.895
187;19;634.726;-0.8;1009;0;8;1;2019;1;1;598.616;636.366
188;20;623.147;-0.8;1009;0;8;1;2019;1;1;591.654;634.726
189;21;613.715;-0.7;1009;0;8;1;2019;1;1;584.101;623.147
190;22;596.404;-0.7;1009;0;8;1;2019;1;1;572.991;613.715
191;23;565.146;-0.7;1009;0;8;1;2019;1;1;549.779;596.404
192;0;526.586;-1.1;1009;0;9;1;2019;2;0;517.676;565.146
193;1;490.225;-1.1;1009;0;9;1;2019;2;0;485.831;526.586
194;2;462.781;-1.1;1009;0;9;1;2019;2;0;461.959;490.225
195;3;451.526;-1.6;1009;0;9;1;2019;2;0;449.592;462.781
196;4;443.968;-1.6;1009;0;9;1;2019;2;0;440.941;451.526
197;5;444.199;-1.6;1009;0;9;1;2019;2;0;438.613;443.968
198;6;458.953;-1.9;1009;0;9;1;2019;2;0;441.516;444.199
199;7;500.528;-1.9;1009;0;9;1;2019;2;0;460.622;458.953
200;8;551.167;-1.9;1009;0;9;1;2019;2;0;490.891;500.528
201;9;601.595;-2.0;1009;0;9;1;2019;2;0;527.55;551.167
202;10;631.373;-2.0;1009;0;9;1;2019;2;0;562.061;601.595
203;11;645.058;-2.0;1009;0;9;1;2019;2;0;595.013;631.373
204;12;654.405;-1.6;1009;0;9;1;2019;2;0;609.145;645.058
205;13;645.4;-1.6;1009;0;9;1;2019;2;0;612.296;654.405
206;14;645.871;-1.6;1009;0;9;1;2019;2;0;607.071;645.4
207;15;645.326;-2.1;1009;0;9;1;2019;2;0;600.974;645.871
208;16;647.48;-2.1;1009;0;9;1;2019;2;0;601.415;645.326
209;17;658.086;-2.1;1009;0;9;1;2019;2;0;612.895;647.48
210;18;672.968;-2.9;1219;0;9;1;2019;2;0;636.366;658.086
211;19;670.093;-2.9;1219;0;9;1;2019;2;0;634.726;672.968
212;20;655.441;-2.9;1219;0;9;1;2019;2;0;623.147;670.093
213;21;638.735;-3.8;1219;0;9;1;2019;2;0;613.715;655.441
214;22;618.185;-3.8;1219;0;9;1;2019;2;0;596.404;638.735
215;23;589.581;-3.8;1219;0;9;1;2019;2;0;565.146;618.185
216;0;545.578;-4.9;1219;0;10;1;2019;3;0;526.586;589.581
217;1;510.644;-4.9;1219;0;10;1;2019;3;0;490.225;545.578
218;2;485.467;-4.9;1219;0;10;1;2019;3;0;462.781;510.644
219;3;472.903;-5.5;1219;0;10;1;2019;3;0;451.526;485.467
220;4;467.98;-5.5;1219;0;10;1;2019;3;0;443.968;472.903
221;5;469.934;-5.5;1219;0;10;1;2019;3;0;444.199;467.98
222;6;482.395;-5.9;1219;0;10;1;2019;3;0;458.953;469.934
223;7;521.776;-5.9;1219;0;10;1;2019;3;0;500.528;482.395
224;8;574.337;-5.9;1219;0;10;1;2019;3;0;551.167;521.776
225;9;622.522;-5.5;1219;0;10;1;2019;3;0;601.595;574.337
226;10;649.928;-5.5;1219;0;10;1;2019;3;0;631.373;622.522
227;11;664.014;-5.5;1219;0;10;1;2019;3;0;645.058;649.928
228;12;664.645;-4.8;1003;0;10;1;2019;3;0;654.405;664.014
229;13;655.043;-4.8;1003;0;10;1;2019;3;0;645.4;664.645
230;14;652.127;-4.8;1003;0;10;1;2019;3;0;645.871;655.043
231;15;649.644;-8.4;1003;0;10;1;2019;3;0;645.326;652.127
232;16;651.758;-8.4;1003;0;10;1;2019;3;0;647.48;649.644
233;17;660.28;-8.4;1003;0;10;1;2019;3;0;658.086;651.758
234;18;683.453;-8.6;1003;0;10;1;2019;3;0;672.968;660.28
235;19;685.519;-8.6;1003;0;10;1;2019;3;0;670.093;683.453
236;20;672.299;-8.6;1003;0;10;1;2019;3;0;655.441;685.519
237;21;656.303;-8.2;1003;0;10;1;2019;3;0;638.735;672.299
238;22;635.898;-8.2;1003;0;10;1;2019;3;0;618.185;656.303
239;23;605.397;-8.2;1003;0;10;1;2019;3;0;589.581;635.898
240;0;562.44;-9.0;1009;0;11;1;2019;4;0;545.578;605.397
241;1;526.955;-9.0;1009;0;11;1;2019;4;0;510.644;562.44
242;2;502.451;-9.0;1009;0;11;1;2019;4;0;485.467;526.955
243;3;491.572;-7.3;1009;0;11;1;2019;4;0;472.903;502.451
244;4;482.96;-7.3;1009;0;11;1;2019;4;0;467.98;491.572
245;5;484.816;-7.3;1009;0;11;1;2019;4;0;469.934;482.96
246;6;496.701;-6.6;1009;0;11;1;2019;4;0;482.395;484.816
247;7;541.2;-6.6;1009;0;11;1;2019;4;0;521.776;496.701
248;8;592.857;-6.6;1009;0;11;1;2019;4;0;574.337;541.2
249;9;638.386;-3.2;1003;0;11;1;2019;4;0;622.522;592.857
250;10;666.349;-3.2;1003;0;11;1;2019;4;0;649.928;638.386
251;11;676.86;-3.2;1003;0;11;1;2019;4;0;664.014;666.349
252;12;678.31;-1.0;1219;3;11;1;2019;4;0;664.645;676.86
253;13;668.341;-1.0;1219;3;11;1;2019;4;0;655.043;678.31
254;14;669.553;-1.0;1219;3;11;1;2019;4;0;652.127;668.341
255;15;669.468;-0.7;1219;3;11;1;2019;4;0;649.644;669.553
256;16;669.417;-0.7;1219;3;11;1;2019;4;0;651.758;669.468
257;17;675.894;-0.7;1219;3;11;1;2019;4;0;660.28;669.417
258;18;692.44;0.3;1153;3;11;1;2019;4;0;683.453;675.894
259;19;683.429;0.3;1153;3;11;1;2019;4;0;685.519;692.44
260;20;665.508;0.3;1153;3;11;1;2019;4;0;672.299;683.429
261;21;648.204;1.9;1153;3;11;1;2019;4;0;656.303;665.508
262;22;627.275;1.9;1153;3;11;1;2019;4;0;635.898;648.204
263;23;594.909;1.9;1153;3;11;1;2019;4;0;605.397;627.275
264;0;551.422;1.0;1153;0;12;1;2019;5;1;562.44;594.909
265;1;512.523;1.0;1153;0;12;1;2019;5;1;526.955;551.422
266;2;487.669;1.0;1153;0;12;1;2019;5;1;502.451;512.523
267;3;473.608;1.8;1003;0;12;1;2019;5;1;491.572;487.669
268;4;461.974;1.8;1003;0;12;1;2019;5;1;482.96;473.608
269;5;459.145;1.8;1003;0;12;1;2019;5;1;484.816;461.974
270;6;464.982;0.6;1003;0;12;1;2019;5;1;496.701;459.145
271;7;487.9;0.6;1003;0;12;1;2019;5;1;541.2;464.982
272;8;517.076;0.6;1003;0;12;1;2019;5;1;592.857;487.9
273;9;553.876;2.2;1003;0;12;1;2019;5;1;638.386;517.076
274;10;586.818;2.2;1003;0;12;1;2019;5;1;666.349;553.876
275;11;611.035;2.2;1003;0;12;1;2019;5;1;676.86;586.818
276;12;616.155;3.2;1009;0;12;1;2019;5;1;678.31;611.035
277;13;609.754;3.2;1009;0;12;1;2019;5;1;668.341;616.155
278;14;606.657;3.2;1009;0;12;1;2019;5;1;669.553;609.754
279;15;603.685;1.2;1009;0;12;1;2019;5;1;669.468;606.657
280;16;603.731;1.2;1009;0;12;1;2019;5;1;669.417;603.685
281;17;615.753;1.2;1009;0;12;1;2019;5;1;675.894;603.731
282;18;644.929;0.4;1009;0;12;1;2019;5;1;692.44;615.753
283;19;644.475;0.4;1009;0;12;1;2019;5;1;683.429;644.929
284;20;628.908;0.4;1009;0;12;1;2019;5;1;665.508;644.475
285;21;613.957;1.0;1009;0;12;1;2019;5;1;648.204;628.908
286;22;596.543;1.0;1009;0;12;1;2019;5;1;627.275;613.957
287;23;570.264;1.0;1009;0;12;1;2019;5;1;594.909;596.543
288;0;533.876;1.6;1189;0;13;1;2019;6;1;551.422;570.264
289;1;497.263;1.6;1189;0;13;1;2019;6;1;512.523;533.876
290;2;471.731;1.6;1189;0;13;1;2019;6;1;487.669;497.263
291;3;457.084;1.7;1189;0;13;1;2019;6;1;473.608;471.731
292;4;447.771;1.7;1189;0;13;1;2019;6;1;461.974;457.084
293;5;444.988;1.7;1189;0;13;1;2019;6;1;459.145;447.771
294;6;446.747;2.2;1153;0;13;1;2019;6;1;464.982;444.988
295;7;462.856;2.2;1153;0;13;1;2019;6;1;487.9;446.747
296;8;486.281;2.2;1153;0;13;1;2019;6;1;517.076;462.856
297;9;515.416;2.8;1153;0;13;1;2019;6;1;553.876;486.281
298;10;548.825;2.8;1153;0;13;1;2019;6;1;586.818;515.416
299;11;580.672;2.8;1153;0;13;1;2019;6;1;611.035;548.825
300;12;593.523;3.4;1153;0;13;1;2019;6;1;616.155;580.672
301;13;597.763;3.4;1153;0;13;1;2019;6;1;609.754;593.523
302;14;593.608;3.4;1153;0;13;1;2019;6;1;606.657;597.763
303;15;594.079;2.8;1189;0;13;1;2019;6;1;603.685;593.608
304;16;597.704;2.8;1189;0;13;1;2019;6;1;603.731;594.079
305;17;605.235;2.8;1189;0;13;1;2019;6;1;615.753;597.704
306;18;634.792;3.0;1189;0;13;1;2019;6;1;644.929;605.235
307;19;632.769;3.0;1189;0;13;1;2019;6;1;644.475;634.792
308;20;625.473;3.0;1189;0;13;1;2019;6;1;628.908;632.769
309;21;615.133;3.7;1189;0;13;1;2019;6;1;613.957;625.473
310;22;594.73;3.7;1189;0;13;1;2019;6;1;596.543;615.133
311;23;560.43;3.7;1189;0;13;1;2019;6;1;570.264;594.73
312;0;515.933;3.7;1189;0;14;1;2019;0;0;533.876;560.43
313;1;476.292;3.7;1189;0;14;1;2019;0;0;497.263;515.933
314;2;452.981;3.7;1189;0;14;1;2019;0;0;471.731;476.292
315;3;441.695;3.9;1189;0;14;1;2019;0;0;457.084;452.981
316;4;438.832;3.9;1189;0;14;1;2019;0;0;447.771;441.695
317;5;444.297;3.9;1189;0;14;1;2019;0;0;444.988;438.832
318;6;462.947;1.2;1189;3;14;1;2019;0;0;446.747;444.297
319;7;508.093;1.2;1189;3;14;1;2019;0;0;462.856;462.947
320;8;567.234;1.2;1189;3;14;1;2019;0;0;486.281;508.093
321;9;614.285;0.5;1219;3;14;1;2019;0;0;515.416;567.234
322;10;643.266;0.5;1219;3;14;1;2019;0;0;548.825;614.285
323;11;656.404;0.5;1219;3;14;1;2019;0;0;580.672;643.266
324;12;655.062;0.6;1219;3;14;1;2019;0;0;593.523;656.404
325;13;647.662;0.6;1219;3;14;1;2019;0;0;597.763;655.062
326;14;644.578;0.6;1219;3;14;1;2019;0;0;593.608;647.662
327;15;640.213;0.6;1219;3;14;1;2019;0;0;594.079;644.578
328;16;640.015;0.6;1219;3;14;1;2019;0;0;597.704;640.213
329;17;643.296;0.6;1219;3;14;1;2019;0;0;605.235;640.015
330;18;666.709;0.7;1219;3;14;1;2019;0;0;634.792;643.296
331;19;668.863;0.7;1219;3;14;1;2019;0;0;632.769;666.709
332;20;653.594;0.7;1219;3;14;1;2019;0;0;625.473;668.863
333;21;636.024;-1.5;1219;3;14;1;2019;0;0;615.133;653.594
334;22;619.25;-1.5;1219;3;14;1;2019;0;0;594.73;636.024
335;23;585.432;-1.5;1219;3;14;1;2019;0;0;560.43;619.25
336;0;539.956;-0.1;1219;3;15;1;2019;1;0;515.933;585.432
337;1;500.713;-0.1;1219;3;15;1;2019;1;0;476.292;539.956
338;2;478.251;-0.1;1219;3;15;1;2019;1;0;452.981;500.713
339;3;466.489;1.8;1219;3;15;1;2019;1;0;441.695;478.251
340;4;462.596;1.8;1219;3;15;1;2019;1;0;438.832;466.489
341;5;464.175;1.8;1219;3;15;1;2019;1;0;444.297;462.596
342;6;475.822;1.9;1003;3;15;1;2019;1;0;462.947;464.175
343;7;521.317;1.9;1003;3;15;1;2019;1;0;508.093;475.822
344;8;581.767;1.9;1003;3;15;1;2019;1;0;567.234;521.317
345;9;622.777;2.2;1219;3;15;1;2019;1;0;614.285;581.767
346;10;646.712;2.2;1219;3;15;1;2019;1;0;643.266;622.777
347;11;657.403;2.2;1219;3;15;1;2019;1;0;656.404;646.712
348;12;656.1;2.1;1003;3;15;1;2019;1;0;655.062;657.403
349;13;649.221;2.1;1003;3;15;1;2019;1;0;647.662;656.1
350;14;645.381;2.1;1003;3;15;1;2019;1;0;644.578;649.221
351;15;644.725;1.0;1003;3;15;1;2019;1;0;640.213;645.381
352;16;644.097;1.0;1003;3;15;1;2019;1;0;640.015;644.725
353;17;644.426;1.0;1003;3;15;1;2019;1;0;643.296;644.097
354;18;666.675;1.1;1003;0;15;1;2019;1;0;666.709;644.426
355;19;666.014;1.1;1003;0;15;1;2019;1;0;668.863;666.675
356;20;652.486;1.1;1003;0;15;1;2019;1;0;653.594;666.014
357;21;640.995;-0.6;1003;0;15;1;2019;1;0;636.024;652.486
358;22;621.91;-0.6;1003;0;15;1;2019;1;0;619.25;640.995
359;23;588.595;-0.6;1003;0;15;1;2019;1;0;585.432;621.91
360;0;543.942;-0.8;1009;0;16;1;2019;2;0;539.956;588.595
361;1;502.007;-0.8;1009;0;16;1;2019;2;0;500.713;543.942
362;2;480.259;-0.8;1009;0;16;1;2019;2;0;478.251;502.007
363;3;468.035;-1.8;1003;0;16;1;2019;2;0;466.489;480.259
364;4;462.163;-1.8;1003;0;16;1;2019;2;0;462.596;468.035
365;5;464.27;-1.8;1003;0;16;1;2019;2;0;464.175;462.163
366;6;481.208;-0.6;1003;0;16;1;2019;2;0;475.822;464.27
367;7;525.927;-0.6;1003;0;16;1;2019;2;0;521.317;481.208
368;8;582.542;-0.6;1003;0;16;1;2019;2;0;581.767;525.927
369;9;616.275;0.4;1003;0;16;1;2019;2;0;622.777;582.542
370;10;640.63;0.4;1003;0;16;1;2019;2;0;646.712;616.275
371;11;650.671;0.4;1003;0;16;1;2019;2;0;657.403;640.63
372;12;646.196;1.6;1009;0;16;1;2019;2;0;656.1;650.671
373;13;633.629;1.6;1009;0;16;1;2019;2;0;649.221;646.196
374;14;636.179;1.6;1009;0;16;1;2019;2;0;645.381;633.629
375;15;636.37;1.9;1009;0;16;1;2019;2;0;644.725;636.179
376;16;640.059;1.9;1009;0;16;1;2019;2;0;644.097;636.37
377;17;644.681;1.9;1009;0;16;1;2019;2;0;644.426;640.059
378;18;662.912;3.2;1189;0;16;1;2019;2;0;666.675;644.681
379;19;660.033;3.2;1189;0;16;1;2019;2;0;666.014;662.912
380;20;648.466;3.2;1189;0;16;1;2019;2;0;652.486;660.033
