time;target;day;month;year
5;428.926;5;1;2019
6;431.34;5;1;2019
7;444.717;5;1;2019
8;469.888;5;1;2019
9;503.824;5;1;2019
10;533.122;5;1;2019
11;565.424;5;1;2019
12;579.819;5;1;2019
13;581.549;5;1;2019
14;580.582;5;1;2019
15;580.592;5;1;2019
16;582.877;5;1;2019
17;599.62;5;1;2019
18;612.847;5;1;2019
19;609.084;5;1;2019
20;597.462;5;1;2019
21;586.569;5;1;2019
22;574.002;5;1;2019
23;549.747;5;1;2019
0;518.851;6;1;2019
1;487.836;6;1;2019
2;463.039;6;1;2019
3;446.956;6;1;2019
4;438.879;6;1;2019
5;435.766;6;1;2019
6;441.252;6;1;2019
7;455.889;6;1;2019
8;476.991;6;1;2019
9;506.962;6;1;2019
10;535.603;6;1;2019
11;566.499;6;1;2019
12;576.889;6;1;2019
13;575.282;6;1;2019
14;570.88;6;1;2019
15;568.857;6;1;2019
16;567.818;6;1;2019
17;584.424;6;1;2019
18;615.803;6;1;2019
19;610.037;6;1;2019
20;595.185;6;1;2019
21;584.211;6;1;2019
22;569.967;6;1;2019
23;550.543;6;1;2019
0;523.761;7;1;2019
1;494.211;7;1;2019
2;470.672;7;1;2019
3;455.73;7;1;2019
4;444.84;7;1;2019
5;441.119;7;1;2019
6;443.111;7;1;2019
7;457.155;7;1;2019
8;474.355;7;1;2019
9;499.64;7;1;2019
10;527.261;7;1;2019
11;559.133;7;1;2019
12;572.396;7;1;2019
13;573.392;7;1;2019
14;571.958;7;1;2019
15;567.706;7;1;2019
16;566.988;7;1;2019
17;578.985;7;1;2019
18;600.381;7;1;2019
19;598.616;7;1;2019
20;591.654;7;1;2019
21;584.101;7;1;2019
22;572.991;7;1;2019
23;549.779;7;1;2019
0;517.676;8;1;2019
1;485.831;8;1;2019
2;461.959;8;1;2019
3;449.592;8;1;2019
4;440.941;8;1;2019
5;438.613;8;1;2019
6;441.516;8;1;2019
7;460.622;8;1;2019
8;490.891;8;1;2019
9;527.55;8;1;2019
10;562.061;8;1;2019
11;595.013;8;1;2019
12;609.145;8;1;2019
13;612.296;8;1;2019
14;607.071;8;1;2019
15;600.974;8;1;2019
16;601.415;8;1;2019
17;612.895;8;1;2019
18;636.366;8;1;2019
19;634.726;8;1;2019
20;623.147;8;1;2019
21;613.715;8;1;2019
22;596.404;8;1;2019
23;565.146;8;1;2019
0;526.586;9;1;2019
1;490.225;9;1;2019
2;462.781;9;1;2019
3;451.526;9;1;2019
4;443.968;9;1;2019
5;444.199;9;1;2019
6;458.953;9;1;2019
7;500.528;9;1;2019
8;551.167;9;1;2019
9;601.595;9;1;2019
10;631.373;9;1;2019
11;645.058;9;1;2019
12;654.405;9;1;2019
13;645.4;9;1;2019
14;645.871;9;1;2019
15;645.326;9;1;2019
16;647.48;9;1;2019
17;658.086;9;1;2019
18;672.968;9;1;2019
19;670.093;9;1;2019
20;655.441;9;1;2019
21;638.735;9;1;2019
22;618.185;9;1;2019
23;589.581;9;1;2019
0;545.578;10;1;2019
1;510.644;10;1;2019
2;485.467;10;1;2019
3;472.903;10;1;2019
4;467.98;10;1;2019
5;469.934;10;1;2019
6;482.395;10;1;2019
7;521.776;10;1;2019
8;574.337;10;1;2019
9;622.522;10;1;2019
10;649.928;10;1;2019
11;664.014;10;1;2019
12;664.645;10;1;2019
13;655.043;10;1;2019
14;652.127;10;1;2019
15;649.644;10;1;2019
16;651.758;10;1;2019
17;660.28;10;1;2019
18;683.453;10;1;2019
19;685.519;10;1;2019
20;672.299;10;1;2019
21;656.303;10;1;2019
22;635.898;10;1;2019
23;605.397;10;1;2019
0;562.44;11;1;2019
1;526.955;11;1;2019
2;502.451;11;1;2019
3;491.572;11;1;2019
4;482.96;11;1;2019
5;484.816;11;1;2019
6;496.701;11;1;2019
7;541.2;11;1;2019
8;592.857;11;1;2019
9;638.386;11;1;2019
10;666.349;11;1;2019
11;676.86;11;1;2019
12;678.31;11;1;2019
13;668.341;11;1;2019
14;669.553;11;1;2019
15;669.468;11;1;2019
16;669.417;11;1;2019
17;675.894;11;1;2019
18;692.44;11;1;2019
19;683.429;11;1;2019
20;665.508;11;1;2019
21;648.204;11;1;2019
22;627.275;11;1;2019
23;594.909;11;1;2019
0;551.422;12;1;2019
1;512.523;12;1;2019
2;487.669;12;1;2019
3;473.608;12;1;2019
4;461.974;12;1;2019
5;459.145;12;1;2019
6;464.982;12;1;2019
7;487.9;12;1;2019
8;517.076;12;1;2019
9;553.876;12;1;2019
10;586.818;12;1;2019
11;611.035;12;1;2019
12;616.155;12;1;2019
13;609.754;12;1;2019
14;606.657;12;1;2019
15;603.685;12;1;2019
16;603.731;12;1;2019
17;615.753;12;1;2019
18;644.929;12;1;2019
19;644.475;12;1;2019
20;628.908;12;1;2019
21;613.957;12;1;2019
22;596.543;12;1;2019
23;570.264;12;1;2019
0;533.876;13;1;2019
1;497.263;13;1;2019
2;471.731;13;1;2019
3;457.084;13;1;2019
4;447.771;13;1;2019
5;444.988;13;1;2019
6;446.747;13;1;2019
7;462.856;13;1;2019
8;486.281;13;1;2019
9;515.416;13;1;2019
10;548.825;13;1;2019
11;580.672;13;1;2019
12;593.523;13;1;2019
13;597.763;13;1;2019
14;593.608;13;1;2019
15;594.079;13;1;2019
16;597.704;13;1;2019
17;605.235;13;1;2019
18;634.792;13;1;2019
19;632.769;13;1;2019
20;625.473;13;1;2019
21;615.133;13;1;2019
22;594.73;13;1;2019
23;560.43;13;1;2019
0;515.933;14;1;2019
1;476.292;14;1;2019
2;452.981;14;1;2019
3;441.695;14;1;2019
4;438.832;14;1;2019
5;444.297;14;1;2019
6;462.947;14;1;2019
7;508.093;14;1;2019
8;567.234;14;1;2019
9;614.285;14;1;2019
10;643.266;14;1;2019
11;656.404;14;1;2019
12;655.062;14;1;2019
13;647.662;14;1;2019
14;644.578;14;1;2019
15;640.213;14;1;2019
16;640.015;14;1;2019
17;643.296;14;1;2019
18;666.709;14;1;2019
19;668.863;14;1;2019
20;653.594;14;1;2019
21;636.024;14;1;2019
22;619.25;14;1;2019
23;585.432;14;1;2019
0;539.956;15;1;2019
1;500.713;15;1;2019
2;478.251;15;1;2019
3;466.489;15;1;2019
4;462.596;15;1;2019
5;464.175;15;1;2019
6;475.822;15;1;2019
7;521.317;15;1;2019
8;581.767;15;1;2019
9;622.777;15;1;2019
10;646.712;15;1;2019
11;657.403;15;1;2019
12;656.1;15;1;2019
13;649.221;15;1;2019
14;645.381;15;1;2019
15;644.725;15;1;2019
16;644.097;15;1;2019
17;644.426;15;1;2019
18;666.675;15;1;2019
19;666.014;15;1;2019
20;652.486;15;1;2019
21;640.995;15;1;2019
22;621.91;15;1;2019
23;588.595;15;1;2019
0;543.942;16;1;2019
1;502.007;16;1;2019
2;480.259;16;1;2019
3;468.035;16;1;2019
4;462.163;16;1;2019
5;464.27;16;1;2019
6;481.208;16;1;2019
7;525.927;16;1;2019
8;582.542;16;1;2019
9;616.275;16;1;2019
10;640.63;16;1;2019
11;650.671;16;1;2019
12;646.196;16;1;2019
13;633.629;16;1;2019
14;636.179;16;1;2019
15;636.37;16;1;2019
16;640.059;16;1;2019
17;644.681;16;1;2019
18;662.912;16;1;2019
19;660.033;16;1;2019
20;648.466;16;1;2019
21;633.047;16;1;2019
22;611.44;16;1;2019
23;577.663;16;1;2019
0;532.551;17;1;2019
1;495.713;17;1;2019
2;470.183;17;1;2019
3;461.196;17;1;2019
4;454.556;17;1;2019
5;455.094;17;1;2019
6;469.081;17;1;2019
7;515.752;17;1;2019
8;573.488;17;1;2019
9;615.922;17;1;2019
10;640.119;17;1;2019
11;655.269;17;1;2019
12;654.465;17;1;2019
13;648.621;17;1;2019
14;647.037;17;1;2019
15;641.591;17;1;2019
16;640.469;17;1;2019
17;641.666;17;1;2019
18;661.91;17;1;2019
19;663.808;17;1;2019
20;650.587;17;1;2019
21;635.972;17;1;2019
22;613.094;17;1;2019
23;572.143;17;1;2019
0;526.917;18;1;2019
1;490.388;18;1;2019
2;467.882;18;1;2019
3;455.687;18;1;2019
4;450.173;18;1;2019
5;455.806;18;1;2019
6;477.044;18;1;2019
7;523.863;18;1;2019
8;580.95;18;1;2019
9;620.299;18;1;2019
10;644.353;18;1;2019
11;655.443;18;1;2019
12;651.497;18;1;2019
13;640.544;18;1;2019
14;640.996;18;1;2019
15;644.023;18;1;2019
16;639.15;18;1;2019
17;639.249;18;1;2019
18;659.108;18;1;2019
19;665.146;18;1;2019
20;651.35;18;1;2019
21;633.403;18;1;2019
22;617.398;18;1;2019
23;587.574;18;1;2019
0;545.266;19;1;2019
1;510.749;19;1;2019
2;484.022;19;1;2019
3;469.086;19;1;2019
4;461.474;19;1;2019
5;458.568;19;1;2019
6;464.743;19;1;2019
7;486.408;19;1;2019
8;518.016;19;1;2019
9;557.298;19;1;2019
10;590.561;19;1;2019
11;611.938;19;1;2019
12;617.558;19;1;2019
13;610.643;19;1;2019
14;603.866;19;1;2019
15;599.615;19;1;2019
16;600.633;19;1;2019
17;606.341;19;1;2019
18;640.068;19;1;2019
19;642.981;19;1;2019
20;631.389;19;1;2019
21;614.786;19;1;2019
22;598.455;19;1;2019
23;572.046;19;1;2019
0;536.856;20;1;2019
1;502.079;20;1;2019
2;478.04;20;1;2019
3;464.489;20;1;2019
4;456.643;20;1;2019
5;453.061;20;1;2019
6;457.723;20;1;2019
7;471.649;20;1;2019
8;494.315;20;1;2019
9;524.231;20;1;2019
10;559.663;20;1;2019
11;592.342;20;1;2019
12;605.381;20;1;2019
13;604.601;20;1;2019
14;601.454;20;1;2019
15;599.544;20;1;2019
16;606.955;20;1;2019
17;612.563;20;1;2019
18;636.383;20;1;2019
19;643.333;20;1;2019
20;635.322;20;1;2019
21;625.871;20;1;2019
22;608.506;20;1;2019
23;576.21;20;1;2019
0;533.184;21;1;2019
1;498.006;21;1;2019
2;474.611;21;1;2019
3;464.183;21;1;2019
4;457.621;21;1;2019
5;459.413;21;1;2019
6;476.972;21;1;2019
7;524.887;21;1;2019
8;584.845;21;1;2019
9;626.658;21;1;2019
10;655.85;21;1;2019
11;670.741;21;1;2019
12;668.803;21;1;2019
13;659.734;21;1;2019
14;658.732;21;1;2019
15;657.238;21;1;2019
16;661.157;21;1;2019
17;660.429;21;1;2019
18;674.175;21;1;2019
19;675.1;21;1;2019
20;661.597;21;1;2019
21;649.333;21;1;2019
22;627.812;21;1;2019
23;592.759;21;1;2019
0;546.601;22;1;2019
1;508.166;22;1;2019
2;485.543;22;1;2019
3;473.236;22;1;2019
4;467.938;22;1;2019
5;469.496;22;1;2019
6;485.557;22;1;2019
7;533.283;22;1;2019
8;591.265;22;1;2019
9;631.895;22;1;2019
10;660.76;22;1;2019
11;665.577;22;1;2019
12;663.233;22;1;2019
13;652.053;22;1;2019
14;651.37;22;1;2019
15;649.935;22;1;2019
16;648.22;22;1;2019
17;648.93;22;1;2019
18;668.847;22;1;2019
19;684.876;22;1;2019
20;672.522;22;1;2019
21;659.983;22;1;2019
22;637.614;22;1;2019
23;602.714;22;1;2019
0;559.781;23;1;2019
1;523.152;23;1;2019
2;498.788;23;1;2019
3;486.437;23;1;2019
4;481.189;23;1;2019
5;482.263;23;1;2019
6;500.803;23;1;2019
7;550.495;23;1;2019
8;611.137;23;1;2019
9;650.773;23;1;2019
10;682.139;23;1;2019
11;692.705;23;1;2019
12;688.794;23;1;2019
13;670.35;23;1;2019
14;662.482;23;1;2019
15;659.108;23;1;2019
16;660.511;23;1;2019
17;658.353;23;1;2019
18;679.183;23;1;2019
19;694.077;23;1;2019
20;681.693;23;1;2019
21;669.869;23;1;2019
22;648.119;23;1;2019
23;614.727;23;1;2019
0;567.896;24;1;2019
1;528.417;24;1;2019
2;505.977;24;1;2019
3;498.0;24;1;2019
4;491.876;24;1;2019
5;493.395;24;1;2019
6;510.758;24;1;2019
7;561.231;24;1;2019
8;624.817;24;1;2019
9;664.008;24;1;2019
10;693.076;24;1;2019
11;706.64;24;1;2019
12;700.189;24;1;2019
13;685.058;24;1;2019
14;679.882;24;1;2019
15;672.849;24;1;2019
16;668.348;24;1;2019
17;670.022;24;1;2019
18;691.116;24;1;2019
19;708.672;24;1;2019
20;697.296;24;1;2019
21;681.251;24;1;2019
22;658.544;24;1;2019
23;621.699;24;1;2019
0;576.305;25;1;2019
1;537.491;25;1;2019
2;515.493;25;1;2019
3;504.864;25;1;2019
4;498.515;25;1;2019
5;501.371;25;1;2019
6;517.402;25;1;2019
7;566.477;25;1;2019
8;624.913;25;1;2019
9;669.737;25;1;2019
10;699.763;25;1;2019
11;710.456;25;1;2019
12;707.411;25;1;2019
13;695.826;25;1;2019
14;692.695;25;1;2019
15;689.304;25;1;2019
16;686.633;25;1;2019
17;685.105;25;1;2019
18;700.315;25;1;2019
19;708.291;25;1;2019
20;692.1;25;1;2019
21;676.906;25;1;2019
22;657.676;25;1;2019
23;623.894;25;1;2019
0;578.847;26;1;2019
1;538.638;26;1;2019
2;512.829;26;1;2019
3;500.753;26;1;2019
4;494.79;26;1;2019
5;492.585;26;1;2019
6;497.938;26;1;2019
7;517.822;26;1;2019
8;552.454;26;1;2019
9;588.193;26;1;2019
10;631.236;26;1;2019
11;655.799;26;1;2019
12;662.028;26;1;2019
13;652.846;26;1;2019
14;649.637;26;1;2019
15;642.854;26;1;2019
16;638.028;26;1;2019
17;639.127;26;1;2019
18;666.363;26;1;2019
19;684.165;26;1;2019
20;672.858;26;1;2019
21;656.984;26;1;2019
22;641.057;26;1;2019
23;614.926;26;1;2019
0;574.72;27;1;2019
1;538.396;27;1;2019
2;513.026;27;1;2019
3;501.166;27;1;2019
4;491.833;27;1;2019
5;486.572;27;1;2019
6;490.186;27;1;2019
7;503.095;27;1;2019
8;526.141;27;1;2019
9;553.49;27;1;2019
10;594.615;27;1;2019
11;621.292;27;1;2019
12;630.364;27;1;2019
13;625.946;27;1;2019
14;624.186;27;1;2019
15;621.912;27;1;2019
16;623.334;27;1;2019
17;628.994;27;1;2019
18;660.014;27;1;2019
19;674.075;27;1;2019
20;667.803;27;1;2019
21;655.011;27;1;2019
22;633.89;27;1;2019
23;597.287;27;1;2019
0;553.834;28;1;2019
1;517.031;28;1;2019
2;496.697;28;1;2019
3;486.298;28;1;2019
4;482.044;28;1;2019
5;485.022;28;1;2019
6;499.244;28;1;2019
7;548.856;28;1;2019
8;607.515;28;1;2019
9;646.327;28;1;2019
10;675.523;28;1;2019
11;687.801;28;1;2019
12;685.965;28;1;2019
13;675.771;28;1;2019
14;673.463;28;1;2019
15;673.713;28;1;2019
16;668.19;28;1;2019
17;664.183;28;1;2019
18;675.502;28;1;2019
19;689.655;28;1;2019
20;673.762;28;1;2019
21;658.667;28;1;2019
22;639.621;28;1;2019
23;602.414;28;1;2019
0;553.091;29;1;2019
1;510.422;29;1;2019
2;484.717;29;1;2019
3;474.34;29;1;2019
4;468.466;29;1;2019
5;468.59;29;1;2019
6;484.874;29;1;2019
7;534.85;29;1;2019
8;595.506;29;1;2019
9;634.311;29;1;2019
10;660.341;29;1;2019
11;672.176;29;1;2019
12;666.011;29;1;2019
13;655.944;29;1;2019
14;660.783;29;1;2019
15;658.448;29;1;2019
16;657.893;29;1;2019
17;652.846;29;1;2019
18;671.032;29;1;2019
19;681.304;29;1;2019
20;665.303;29;1;2019
21;651.671;29;1;2019
22;628.063;29;1;2019
23;590.382;29;1;2019
0;541.678;30;1;2019
1;502.383;30;1;2019
2;478.301;30;1;2019
3;469.569;30;1;2019
4;464.99;30;1;2019
5;467.281;30;1;2019
6;484.22;30;1;2019
7;535.189;30;1;2019
8;594.607;30;1;2019
9;636.979;30;1;2019
10;668.158;30;1;2019
11;671.901;30;1;2019
12;668.944;30;1;2019
13;652.85;30;1;2019
14;648.917;30;1;2019
15;645.557;30;1;2019
16;641.894;30;1;2019
17;638.035;30;1;2019
18;656.417;30;1;2019
19;682.645;30;1;2019
20;673.934;30;1;2019
21;660.711;30;1;2019
22;639.011;30;1;2019
23;601.618;30;1;2019
0;551.764;31;1;2019
1;509.703;31;1;2019
2;486.041;31;1;2019
3;476.1;31;1;2019
4;471.236;31;1;2019
5;473.084;31;1;2019
6;490.386;31;1;2019
7;540.404;31;1;2019
8;603.175;31;1;2019
9;645.177;31;1;2019
10;673.782;31;1;2019
11;682.5;31;1;2019
12;681.315;31;1;2019
13;668.784;31;1;2019
14;667.103;31;1;2019
15;663.497;31;1;2019
16;663.962;31;1;2019
17;663.172;31;1;2019
18;672.195;31;1;2019
19;686.187;31;1;2019
20;674.494;31;1;2019
21;661.116;31;1;2019
22;636.278;31;1;2019
23;601.936;31;1;2019
0;557.528;1;2;2019
1;519.482;1;2;2019
2;494.38;1;2;2019
3;484.917;1;2;2019
4;478.837;1;2;2019
5;478.951;1;2;2019
6;493.133;1;2;2019
7;538.0;1;2;2019
8;592.102;1;2;2019
9;627.539;1;2;2019
10;658.514;1;2;2019
11;668.653;1;2;2019
12;664.161;1;2;2019
13;651.688;1;2;2019
14;652.217;1;2;2019
15;644.469;1;2;2019
16;641.64;1;2;2019
17;643.544;1;2;2019
18;659.537;1;2;2019
19;674.6;1;2;2019
20;661.604;1;2;2019
21;641.414;1;2;2019
22;622.728;1;2;2019
23;589.524;1;2;2019
0;544.429;2;2;2019
1;508.646;2;2;2019
2;484.459;2;2;2019
3;471.808;2;2;2019
4;466.778;2;2;2019
5;464.861;2;2;2019
6;472.076;2;2;2019
7;489.581;2;2;2019
8;522.901;2;2;2019
9;560.702;2;2;2019
10;603.991;2;2;2019
11;632.195;2;2;2019
12;638.212;2;2;2019
13;635.086;2;2;2019
14;628.948;2;2;2019
15;621.278;2;2;2019
16;617.556;2;2;2019
17;614.906;2;2;2019
18;637.766;2;2;2019
19;650.21;2;2;2019
20;634.365;2;2;2019
21;616.5;2;2;2019
22;600.094;2;2;2019
23;568.111;2;2;2019
0;525.217;3;2;2019
1;490.484;3;2;2019
2;466.514;3;2;2019
3;453.986;3;2;2019
4;447.081;3;2;2019
5;442.19;3;2;2019
6;448.622;3;2;2019
7;462.746;3;2;2019
8;484.1;3;2;2019
9;509.342;3;2;2019
10;551.2;3;2;2019
11;583.415;3;2;2019
12;595.694;3;2;2019
13;593.352;3;2;2019
14;590.535;3;2;2019
15;586.164;3;2;2019
16;585.953;3;2;2019
17;591.092;3;2;2019
18;614.247;3;2;2019
19;630.626;3;2;2019
20;622.595;3;2;2019
21;615.844;3;2;2019
22;600.672;3;2;2019
23;570.342;3;2;2019
0;529.638;4;2;2019
1;496.13;4;2;2019
2;470.468;4;2;2019
3;458.733;4;2;2019
4;447.993;4;2;2019
5;448.024;4;2;2019
6;463.146;4;2;2019
7;509.111;4;2;2019
8;558.32;4;2;2019
9;594.49;4;2;2019
10;628.105;4;2;2019
11;642.532;4;2;2019
12;644.885;4;2;2019
13;637.389;4;2;2019
14;638.126;4;2;2019
15;636.746;4;2;2019
16;634.946;4;2;2019
17;630.38;4;2;2019
18;637.976;4;2;2019
19;658.182;4;2;2019
20;645.363;4;2;2019
21;628.53;4;2;2019
22;610.947;4;2;2019
23;576.827;4;2;2019
0;533.346;5;2;2019
1;492.477;5;2;2019
2;470.263;5;2;2019
3;458.689;5;2;2019
4;454.323;5;2;2019
5;458.107;5;2;2019
6;473.508;5;2;2019
7;519.389;5;2;2019
8;573.687;5;2;2019
9;609.675;5;2;2019
10;642.94;5;2;2019
11;654.967;5;2;2019
12;652.185;5;2;2019
13;643.06;5;2;2019
14;644.009;5;2;2019
15;642.839;5;2;2019
16;644.619;5;2;2019
17;642.984;5;2;2019
18;649.863;5;2;2019
19;668.009;5;2;2019
20;654.592;5;2;2019
21;636.929;5;2;2019
22;616.585;5;2;2019
23;579.981;5;2;2019
0;532.765;6;2;2019
1;495.556;6;2;2019
2;470.823;6;2;2019
3;461.497;6;2;2019
4;455.432;6;2;2019
5;454.991;6;2;2019
6;469.815;6;2;2019
7;516.508;6;2;2019
8;566.796;6;2;2019
9;601.281;6;2;2019
10;638.765;6;2;2019
11;649.037;6;2;2019
12;648.032;6;2;2019
13;637.162;6;2;2019
14;636.559;6;2;2019
15;633.05;6;2;2019
16;630.441;6;2;2019
17;626.526;6;2;2019
18;633.665;6;2;2019
19;655.504;6;2;2019
20;641.97;6;2;2019
21;624.75;6;2;2019
22;607.986;6;2;2019
23;571.37;6;2;2019
0;526.092;7;2;2019
1;488.579;7;2;2019
2;465.22;7;2;2019
3;455.069;7;2;2019
4;450.906;7;2;2019
5;450.366;7;2;2019
6;465.892;7;2;2019
7;509.874;7;2;2019
8;563.352;7;2;2019
9;600.957;7;2;2019
10;634.527;7;2;2019
11;644.372;7;2;2019
12;643.246;7;2;2019
13;631.808;7;2;2019
14;623.054;7;2;2019
15;614.532;7;2;2019
16;610.885;7;2;2019
17;610.061;7;2;2019
18;621.152;7;2;2019
19;649.261;7;2;2019
20;638.045;7;2;2019
21;621.018;7;2;2019
22;605.192;7;2;2019
23;567.289;7;2;2019
0;518.526;8;2;2019
1;475.579;8;2;2019
2;451.807;8;2;2019
3;441.289;8;2;2019
4;436.142;8;2;2019
5;436.725;8;2;2019
6;453.192;8;2;2019
7;499.789;8;2;2019
8;555.682;8;2;2019
9;593.222;8;2;2019
10;628.276;8;2;2019
11;633.616;8;2;2019
12;624.089;8;2;2019
13;614.141;8;2;2019
14;619.139;8;2;2019
15;618.399;8;2;2019
16;612.816;8;2;2019
17;608.586;8;2;2019
18;617.428;8;2;2019
19;638.496;8;2;2019
20;627.894;8;2;2019
21;610.22;8;2;2019
22;594.642;8;2;2019
23;563.43;8;2;2019
0;525.788;9;2;2019
1;491.594;9;2;2019
2;468.694;9;2;2019
3;455.952;9;2;2019
4;448.564;9;2;2019
5;446.213;9;2;2019
6;453.455;9;2;2019
7;474.566;9;2;2019
8;502.499;9;2;2019
9;535.81;9;2;2019
10;577.369;9;2;2019
11;600.516;9;2;2019
12;606.386;9;2;2019
13;599.945;9;2;2019
14;595.857;9;2;2019
15;592.52;9;2;2019
16;594.318;9;2;2019
17;599.669;9;2;2019
18;610.263;9;2;2019
19;627.502;9;2;2019
20;614.805;9;2;2019
21;598.744;9;2;2019
22;579.56;9;2;2019
23;549.573;9;2;2019
0;514.232;10;2;2019
1;480.833;10;2;2019
2;457.99;10;2;2019
3;444.709;10;2;2019
4;438.453;10;2;2019
5;435.483;10;2;2019
6;441.697;10;2;2019
7;457.102;10;2;2019
8;476.447;10;2;2019
9;500.916;10;2;2019
10;544.16;10;2;2019
11;567.031;10;2;2019
12;571.998;10;2;2019
13;563.508;10;2;2019
14;557.365;10;2;2019
15;551.144;10;2;2019
16;550.238;10;2;2019
17;556.714;10;2;2019
18;582.241;10;2;2019
19;608.354;10;2;2019
20;607.437;10;2;2019
21;594.923;10;2;2019
22;578.613;10;2;2019
23;546.136;10;2;2019
0;504.654;11;2;2019
1;469.418;11;2;2019
2;446.796;11;2;2019
3;436.087;11;2;2019
4;428.378;11;2;2019
5;430.939;11;2;2019
6;448.274;11;2;2019
7;492.68;11;2;2019
8;542.175;11;2;2019
9;578.832;11;2;2019
10;614.345;11;2;2019
11;626.723;11;2;2019
12;628.594;11;2;2019
13;624.24;11;2;2019
14;624.81;11;2;2019
15;625.419;11;2;2019
16;624.465;11;2;2019
17;620.345;11;2;2019
18;625.336;11;2;2019
19;641.488;11;2;2019
20;627.605;11;2;2019
21;613.201;11;2;2019
22;594.059;11;2;2019
23;557.069;11;2;2019
0;509.542;12;2;2019
1;469.389;12;2;2019
2;447.928;12;2;2019
3;437.287;12;2;2019
4;431.14;12;2;2019
5;433.354;12;2;2019
6;449.243;12;2;2019
7;494.576;12;2;2019
8;548.42;12;2;2019
9;586.293;12;2;2019
10;619.927;12;2;2019
11;629.347;12;2;2019
12;624.997;12;2;2019
13;617.153;12;2;2019
14;617.486;12;2;2019
15;611.397;12;2;2019
16;603.273;12;2;2019
17;598.64;12;2;2019
18;599.833;12;2;2019
19;632.138;12;2;2019
20;626.516;12;2;2019
21;611.197;12;2;2019
22;594.768;12;2;2019
23;561.254;12;2;2019
0;513.016;13;2;2019
1;474.786;13;2;2019
2;452.928;13;2;2019
3;441.233;13;2;2019
4;434.908;13;2;2019
5;434.837;13;2;2019
6;452.096;13;2;2019
7;498.237;13;2;2019
8;550.802;13;2;2019
9;591.838;13;2;2019
10;630.674;13;2;2019
11;641.977;13;2;2019
12;640.806;13;2;2019
13;629.911;13;2;2019
14;629.408;13;2;2019
15;622.366;13;2;2019
16;611.021;13;2;2019
17;604.346;13;2;2019
18;593.555;13;2;2019
19;626.517;13;2;2019
20;623.852;13;2;2019
21;610.644;13;2;2019
22;594.853;13;2;2019
23;562.12;13;2;2019
0;514.986;14;2;2019
1;472.661;14;2;2019
2;450.646;14;2;2019
3;438.534;14;2;2019
4;432.772;14;2;2019
5;432.378;14;2;2019
6;449.409;14;2;2019
7;495.515;14;2;2019
8;544.612;14;2;2019
9;578.277;14;2;2019
10;610.218;14;2;2019
11;619.226;14;2;2019
12;620.146;14;2;2019
13;613.208;14;2;2019
14;617.631;14;2;2019
15;617.451;14;2;2019
16;614.773;14;2;2019
17;615.341;14;2;2019
18;617.475;14;2;2019
