time;target;temp;weather;wind;day;month;year;weekend
10;562.061;-1.7;1219;3;8;1;2019;1
11;595.013;-1.7;1219;3;8;1;2019;1
12;609.145;-0.7;1219;3;8;1;2019;1
13;612.296;-0.7;1219;3;8;1;2019;1
14;607.071;-0.7;1219;3;8;1;2019;1
15;600.974;-0.5;1219;3;8;1;2019;1
16;601.415;-0.5;1219;3;8;1;2019;1
17;612.895;-0.5;1219;3;8;1;2019;1
18;636.366;-0.8;1009;0;8;1;2019;1
19;634.726;-0.8;1009;0;8;1;2019;1
20;623.147;-0.8;1009;0;8;1;2019;1
21;613.715;-0.7;1009;0;8;1;2019;1
22;596.404;-0.7;1009;0;8;1;2019;1
23;565.146;-0.7;1009;0;8;1;2019;1
0;526.586;-1.1;1009;0;9;1;2019;0
1;490.225;-1.1;1009;0;9;1;2019;0
2;462.781;-1.1;1009;0;9;1;2019;0
3;451.526;-1.6;1009;0;9;1;2019;0
4;443.968;-1.6;1009;0;9;1;2019;0
5;444.199;-1.6;1009;0;9;1;2019;0
6;458.953;-1.9;1009;0;9;1;2019;0
7;500.528;-1.9;1009;0;9;1;2019;0
8;551.167;-1.9;1009;0;9;1;2019;0
9;601.595;-2.0;1009;0;9;1;2019;0
10;631.373;-2.0;1009;0;9;1;2019;0
11;645.058;-2.0;1009;0;9;1;2019;0
12;654.405;-1.6;1009;0;9;1;2019;0
13;645.4;-1.6;1009;0;9;1;2019;0
14;645.871;-1.6;1009;0;9;1;2019;0
15;645.326;-2.1;1009;0;9;1;2019;0
16;647.48;-2.1;1009;0;9;1;2019;0
17;658.086;-2.1;1009;0;9;1;2019;0
18;672.968;-2.9;1219;0;9;1;2019;0
19;670.093;-2.9;1219;0;9;1;2019;0
20;655.441;-2.9;1219;0;9;1;2019;0
21;638.735;-3.8;1219;0;9;1;2019;0
22;618.185;-3.8;1219;0;9;1;2019;0
23;589.581;-3.8;1219;0;9;1;2019;0
0;545.578;-4.9;1219;0;10;1;2019;0
1;510.644;-4.9;1219;0;10;1;2019;0
2;485.467;-4.9;1219;0;10;1;2019;0
3;472.903;-5.5;1219;0;10;1;2019;0
4;467.98;-5.5;1219;0;10;1;2019;0
5;469.934;-5.5;1219;0;10;1;2019;0
6;482.395;-5.9;1219;0;10;1;2019;0
7;521.776;-5.9;1219;0;10;1;2019;0
8;574.337;-5.9;1219;0;10;1;2019;0
9;622.522;-5.5;1219;0;10;1;2019;0
10;649.928;-5.5;1219;0;10;1;2019;0
11;664.014;-5.5;1219;0;10;1;2019;0
12;664.645;-4.8;1003;0;10;1;2019;0
13;655.043;-4.8;1003;0;10;1;2019;0
14;652.127;-4.8;1003;0;10;1;2019;0
15;649.644;-8.4;1003;0;10;1;2019;0
16;651.758;-8.4;1003;0;10;1;2019;0
17;660.28;-8.4;1003;0;10;1;2019;0
18;683.453;-8.6;1003;0;10;1;2019;0
19;685.519;-8.6;1003;0;10;1;2019;0
20;672.299;-8.6;1003;0;10;1;2019;0
21;656.303;-8.2;1003;0;10;1;2019;0
22;635.898;-8.2;1003;0;10;1;2019;0
23;605.397;-8.2;1003;0;10;1;2019;0
0;562.44;-9.0;1009;0;11;1;2019;0
1;526.955;-9.0;1009;0;11;1;2019;0
2;502.451;-9.0;1009;0;11;1;2019;0
3;491.572;-7.3;1009;0;11;1;2019;0
4;482.96;-7.3;1009;0;11;1;2019;0
5;484.816;-7.3;1009;0;11;1;2019;0
6;496.701;-6.6;1009;0;11;1;2019;0
7;541.2;-6.6;1009;0;11;1;2019;0
8;592.857;-6.6;1009;0;11;1;2019;0
9;638.386;-3.2;1003;0;11;1;2019;0
10;666.349;-3.2;1003;0;11;1;2019;0
11;676.86;-3.2;1003;0;11;1;2019;0
12;678.31;-1.0;1219;3;11;1;2019;0
13;668.341;-1.0;1219;3;11;1;2019;0
14;669.553;-1.0;1219;3;11;1;2019;0
15;669.468;-0.7;1219;3;11;1;2019;0
16;669.417;-0.7;1219;3;11;1;2019;0
17;675.894;-0.7;1219;3;11;1;2019;0
18;692.44;0.3;1153;3;11;1;2019;0
19;683.429;0.3;1153;3;11;1;2019;0
20;665.508;0.3;1153;3;11;1;2019;0
21;648.204;1.9;1153;3;11;1;2019;0
22;627.275;1.9;1153;3;11;1;2019;0
23;594.909;1.9;1153;3;11;1;2019;0
0;551.422;1.0;1153;0;12;1;2019;1
1;512.523;1.0;1153;0;12;1;2019;1
2;487.669;1.0;1153;0;12;1;2019;1
3;473.608;1.8;1003;0;12;1;2019;1
4;461.974;1.8;1003;0;12;1;2019;1
5;459.145;1.8;1003;0;12;1;2019;1
6;464.982;0.6;1003;0;12;1;2019;1
7;487.9;0.6;1003;0;12;1;2019;1
8;517.076;0.6;1003;0;12;1;2019;1
9;553.876;2.2;1003;0;12;1;2019;1
10;586.818;2.2;1003;0;12;1;2019;1
11;611.035;2.2;1003;0;12;1;2019;1
12;616.155;3.2;1009;0;12;1;2019;1
13;609.754;3.2;1009;0;12;1;2019;1
14;606.657;3.2;1009;0;12;1;2019;1
15;603.685;1.2;1009;0;12;1;2019;1
16;603.731;1.2;1009;0;12;1;2019;1
17;615.753;1.2;1009;0;12;1;2019;1
18;644.929;0.4;1009;0;12;1;2019;1
19;644.475;0.4;1009;0;12;1;2019;1
20;628.908;0.4;1009;0;12;1;2019;1
21;613.957;1.0;1009;0;12;1;2019;1
22;596.543;1.0;1009;0;12;1;2019;1
23;570.264;1.0;1009;0;12;1;2019;1
0;533.876;1.6;1189;0;13;1;2019;1
1;497.263;1.6;1189;0;13;1;2019;1
2;471.731;1.6;1189;0;13;1;2019;1
3;457.084;1.7;1189;0;13;1;2019;1
4;447.771;1.7;1189;0;13;1;2019;1
5;444.988;1.7;1189;0;13;1;2019;1
6;446.747;2.2;1153;0;13;1;2019;1
7;462.856;2.2;1153;0;13;1;2019;1
8;486.281;2.2;1153;0;13;1;2019;1
9;515.416;2.8;1153;0;13;1;2019;1
10;548.825;2.8;1153;0;13;1;2019;1
11;580.672;2.8;1153;0;13;1;2019;1
12;593.523;3.4;1153;0;13;1;2019;1
13;597.763;3.4;1153;0;13;1;2019;1
14;593.608;3.4;1153;0;13;1;2019;1
15;594.079;2.8;1189;0;13;1;2019;1
16;597.704;2.8;1189;0;13;1;2019;1
17;605.235;2.8;1189;0;13;1;2019;1
18;634.792;3.0;1189;0;13;1;2019;1
19;632.769;3.0;1189;0;13;1;2019;1
20;625.473;3.0;1189;0;13;1;2019;1
21;615.133;3.7;1189;0;13;1;2019;1
22;594.73;3.7;1189;0;13;1;2019;1
23;560.43;3.7;1189;0;13;1;2019;1
0;515.933;3.7;1189;0;14;1;2019;0
1;476.292;3.7;1189;0;14;1;2019;0
2;452.981;3.7;1189;0;14;1;2019;0
3;441.695;3.9;1189;0;14;1;2019;0
4;438.832;3.9;1189;0;14;1;2019;0
5;444.297;3.9;1189;0;14;1;2019;0
6;462.947;1.2;1189;3;14;1;2019;0
7;508.093;1.2;1189;3;14;1;2019;0
8;567.234;1.2;1189;3;14;1;2019;0
9;614.285;0.5;1219;3;14;1;2019;0
10;643.266;0.5;1219;3;14;1;2019;0
11;656.404;0.5;1219;3;14;1;2019;0
12;655.062;0.6;1219;3;14;1;2019;0
13;647.662;0.6;1219;3;14;1;2019;0
14;644.578;0.6;1219;3;14;1;2019;0
15;640.213;0.6;1219;3;14;1;2019;0
16;640.015;0.6;1219;3;14;1;2019;0
17;643.296;0.6;1219;3;14;1;2019;0
18;666.709;0.7;1219;3;14;1;2019;0
19;668.863;0.7;1219;3;14;1;2019;0
20;653.594;0.7;1219;3;14;1;2019;0
21;636.024;-1.5;1219;3;14;1;2019;0
22;619.25;-1.5;1219;3;14;1;2019;0
23;585.432;-1.5;1219;3;14;1;2019;0
0;539.956;-0.1;1219;3;15;1;2019;0
1;500.713;-0.1;1219;3;15;1;2019;0
2;478.251;-0.1;1219;3;15;1;2019;0
3;466.489;1.8;1219;3;15;1;2019;0
4;462.596;1.8;1219;3;15;1;2019;0
5;464.175;1.8;1219;3;15;1;2019;0
6;475.822;1.9;1003;3;15;1;2019;0
7;521.317;1.9;1003;3;15;1;2019;0
8;581.767;1.9;1003;3;15;1;2019;0
9;622.777;2.2;1219;3;15;1;2019;0
10;646.712;2.2;1219;3;15;1;2019;0
11;657.403;2.2;1219;3;15;1;2019;0
12;656.1;2.1;1003;3;15;1;2019;0
13;649.221;2.1;1003;3;15;1;2019;0
14;645.381;2.1;1003;3;15;1;2019;0
15;644.725;1.0;1003;3;15;1;2019;0
16;644.097;1.0;1003;3;15;1;2019;0
17;644.426;1.0;1003;3;15;1;2019;0
18;666.675;1.1;1003;0;15;1;2019;0
19;666.014;1.1;1003;0;15;1;2019;0
20;652.486;1.1;1003;0;15;1;2019;0
21;640.995;-0.6;1003;0;15;1;2019;0
22;621.91;-0.6;1003;0;15;1;2019;0
23;588.595;-0.6;1003;0;15;1;2019;0
0;543.942;-0.8;1009;0;16;1;2019;0
1;502.007;-0.8;1009;0;16;1;2019;0
2;480.259;-0.8;1009;0;16;1;2019;0
3;468.035;-1.8;1003;0;16;1;2019;0
4;462.163;-1.8;1003;0;16;1;2019;0
5;464.27;-1.8;1003;0;16;1;2019;0
6;481.208;-0.6;1003;0;16;1;2019;0
7;525.927;-0.6;1003;0;16;1;2019;0
8;582.542;-0.6;1003;0;16;1;2019;0
9;616.275;0.4;1003;0;16;1;2019;0
10;640.63;0.4;1003;0;16;1;2019;0
11;650.671;0.4;1003;0;16;1;2019;0
12;646.196;1.6;1009;0;16;1;2019;0
13;633.629;1.6;1009;0;16;1;2019;0
14;636.179;1.6;1009;0;16;1;2019;0
15;636.37;1.9;1009;0;16;1;2019;0
16;640.059;1.9;1009;0;16;1;2019;0
17;644.681;1.9;1009;0;16;1;2019;0
18;662.912;3.2;1189;0;16;1;2019;0
19;660.033;3.2;1189;0;16;1;2019;0
20;648.466;3.2;1189;0;16;1;2019;0
21;633.047;4.3;1189;0;16;1;2019;0
22;611.44;4.3;1189;0;16;1;2019;0
23;577.663;4.3;1189;0;16;1;2019;0
0;532.551;4.6;1189;0;17;1;2019;0
1;495.713;4.6;1189;0;17;1;2019;0
2;470.183;4.6;1189;0;17;1;2019;0
3;461.196;4.1;1189;0;17;1;2019;0
4;454.556;4.1;1189;0;17;1;2019;0
5;455.094;4.1;1189;0;17;1;2019;0
6;469.081;3.3;1189;0;17;1;2019;0
7;515.752;3.3;1189;0;17;1;2019;0
8;573.488;3.3;1189;0;17;1;2019;0
9;615.922;2.6;1189;0;17;1;2019;0
10;640.119;2.6;1189;0;17;1;2019;0
11;655.269;2.6;1189;0;17;1;2019;0
12;654.465;3.2;1189;0;17;1;2019;0
13;648.621;3.2;1189;0;17;1;2019;0
14;647.037;3.2;1189;0;17;1;2019;0
15;641.591;3.8;1189;0;17;1;2019;0
16;640.469;3.8;1189;0;17;1;2019;0
17;641.666;3.8;1189;0;17;1;2019;0
18;661.91;4.0;1189;0;17;1;2019;0
19;663.808;4.0;1189;0;17;1;2019;0
20;650.587;4.0;1189;0;17;1;2019;0
21;635.972;3.6;1189;0;17;1;2019;0
22;613.094;3.6;1189;0;17;1;2019;0
23;572.143;3.6;1189;0;17;1;2019;0
0;526.917;3.0;1009;0;18;1;2019;0
1;490.388;3.0;1009;0;18;1;2019;0
2;467.882;3.0;1009;0;18;1;2019;0
3;455.687;0.0;1219;0;18;1;2019;0
4;450.173;0.0;1219;0;18;1;2019;0
5;455.806;0.0;1219;0;18;1;2019;0
6;477.044;-0.8;1219;0;18;1;2019;0
7;523.863;-0.8;1219;0;18;1;2019;0
8;580.95;-0.8;1219;0;18;1;2019;0
9;620.299;-0.4;1219;0;18;1;2019;0
10;644.353;-0.4;1219;0;18;1;2019;0
11;655.443;-0.4;1219;0;18;1;2019;0
12;651.497;0.6;1006;0;18;1;2019;0
13;640.544;0.6;1006;0;18;1;2019;0
14;640.996;0.6;1006;0;18;1;2019;0
15;644.023;-0.2;1000;0;18;1;2019;0
16;639.15;-0.2;1000;0;18;1;2019;0
17;639.249;-0.2;1000;0;18;1;2019;0
18;659.108;-0.7;1000;0;18;1;2019;0
19;665.146;-0.7;1000;0;18;1;2019;0
20;651.35;-0.7;1000;0;18;1;2019;0
21;633.403;-0.7;1000;0;18;1;2019;0
22;617.398;-0.7;1000;0;18;1;2019;0
23;587.574;-0.7;1000;0;18;1;2019;0
0;545.266;0.2;1003;0;19;1;2019;1
1;510.749;0.2;1003;0;19;1;2019;1
2;484.022;0.2;1003;0;19;1;2019;1
3;469.086;-0.5;1003;0;19;1;2019;1
4;461.474;-0.5;1003;0;19;1;2019;1
5;458.568;-0.5;1003;0;19;1;2019;1
6;464.743;-1.0;1003;0;19;1;2019;1
7;486.408;-1.0;1003;0;19;1;2019;1
8;518.016;-1.0;1003;0;19;1;2019;1
9;557.298;-0.1;1003;0;19;1;2019;1
10;590.561;-0.1;1003;0;19;1;2019;1
11;611.938;-0.1;1003;0;19;1;2019;1
12;617.558;1.0;1003;0;19;1;2019;1
13;610.643;1.0;1003;0;19;1;2019;1
14;603.866;1.0;1003;0;19;1;2019;1
15;599.615;-0.2;1003;0;19;1;2019;1
16;600.633;-0.2;1003;0;19;1;2019;1
17;606.341;-0.2;1003;0;19;1;2019;1
18;640.068;-1.3;1003;0;19;1;2019;1
19;642.981;-1.3;1003;0;19;1;2019;1
20;631.389;-1.3;1003;0;19;1;2019;1
21;614.786;0.0;1003;0;19;1;2019;1
22;598.455;0.0;1003;0;19;1;2019;1
23;572.046;0.0;1003;0;19;1;2019;1
0;536.856;0.0;1003;0;20;1;2019;1
1;502.079;0.0;1003;0;20;1;2019;1
2;478.04;0.0;1003;0;20;1;2019;1
3;464.489;-0.2;1003;0;20;1;2019;1
4;456.643;-0.2;1003;0;20;1;2019;1
5;453.061;-0.2;1003;0;20;1;2019;1
6;457.723;0.0;1009;3;20;1;2019;1
7;471.649;0.0;1009;3;20;1;2019;1
8;494.315;0.0;1009;3;20;1;2019;1
9;524.231;0.0;1009;3;20;1;2019;1
10;559.663;0.0;1009;3;20;1;2019;1
11;592.342;0.0;1009;3;20;1;2019;1
12;605.381;0.8;1009;3;20;1;2019;1
13;604.601;0.8;1009;3;20;1;2019;1
14;601.454;0.8;1219;3;20;1;2019;1
15;599.544;-0.4;1219;3;20;1;2019;1
16;606.955;-0.4;1219;3;20;1;2019;1
17;612.563;-0.4;1219;3;20;1;2019;1
18;636.383;-3.2;1219;0;20;1;2019;1
19;643.333;-3.2;1219;0;20;1;2019;1
20;635.322;-3.2;1219;0;20;1;2019;1
21;625.871;-5.5;1009;0;20;1;2019;1
22;608.506;-5.5;1009;0;20;1;2019;1
23;576.21;-5.5;1009;0;20;1;2019;1
0;533.184;-6.2;1000;0;21;1;2019;0
1;498.006;-6.2;1000;0;21;1;2019;0
2;474.611;-6.2;1000;0;21;1;2019;0
3;464.183;-7.6;1000;0;21;1;2019;0
4;457.621;-7.6;1000;0;21;1;2019;0
5;459.413;-7.6;1000;0;21;1;2019;0
6;476.972;-6.0;1000;0;21;1;2019;0
7;524.887;-6.0;1000;0;21;1;2019;0
8;584.845;-6.0;1000;0;21;1;2019;0
9;626.658;-2.3;1003;0;21;1;2019;0
10;655.85;-2.3;1003;0;21;1;2019;0
11;670.741;-2.3;1003;0;21;1;2019;0
12;668.803;0.5;1219;0;21;1;2019;0
13;659.734;0.5;1219;0;21;1;2019;0
14;658.732;0.5;1219;0;21;1;2019;0
15;657.238;-0.9;1219;0;21;1;2019;0
16;661.157;-0.9;1219;0;21;1;2019;0
17;660.429;-0.9;1219;0;21;1;2019;0
18;674.175;-1.8;1219;0;21;1;2019;0
19;675.1;-1.8;1219;0;21;1;2019;0
20;661.597;-1.8;1219;0;21;1;2019;0
21;649.333;-3.1;1009;0;21;1;2019;0
22;627.812;-3.1;1009;0;21;1;2019;0
23;592.759;-3.1;1009;0;21;1;2019;0
0;546.601;-3.7;1009;0;22;1;2019;0
1;508.166;-3.7;1009;0;22;1;2019;0
2;485.543;-3.7;1009;0;22;1;2019;0
3;473.236;-3.9;1009;0;22;1;2019;0
4;467.938;-3.9;1009;0;22;1;2019;0
5;469.496;-3.9;1009;0;22;1;2019;0
6;485.557;-4.0;1000;0;22;1;2019;0
7;533.283;-4.0;1000;0;22;1;2019;0
8;591.265;-4.0;1000;0;22;1;2019;0
9;631.895;-4.6;1000;0;22;1;2019;0
10;660.76;-4.6;1000;0;22;1;2019;0
11;665.577;-4.6;1000;0;22;1;2019;0
12;663.233;-2.8;1000;0;22;1;2019;0
13;652.053;-2.8;1000;0;22;1;2019;0
14;651.37;-2.8;1000;0;22;1;2019;0
15;649.935;-4.7;1000;0;22;1;2019;0
16;648.22;-4.7;1000;0;22;1;2019;0
17;648.93;-4.7;1000;0;22;1;2019;0
18;668.847;-8.7;1000;0;22;1;2019;0
19;684.876;-8.7;1000;0;22;1;2019;0
20;672.522;-8.7;1000;0;22;1;2019;0
21;659.983;-9.4;1000;0;22;1;2019;0
22;637.614;-9.4;1000;0;22;1;2019;0
23;602.714;-9.4;1000;0;22;1;2019;0
0;559.781;-10.6;1000;0;23;1;2019;0
1;523.152;-10.6;1000;0;23;1;2019;0
2;498.788;-10.6;1000;0;23;1;2019;0
3;486.437;-11.4;1000;0;23;1;2019;0
4;481.189;-11.4;1000;0;23;1;2019;0
5;482.263;-11.4;1000;0;23;1;2019;0
6;500.803;-11.2;1000;0;23;1;2019;0
7;550.495;-11.2;1000;0;23;1;2019;0
8;611.137;-11.2;1000;0;23;1;2019;0
9;650.773;-7.7;1000;0;23;1;2019;0
10;682.139;-7.7;1000;0;23;1;2019;0
11;692.705;-7.7;1000;0;23;1;2019;0
12;688.794;-4.6;1000;0;23;1;2019;0
13;670.35;-4.6;1000;0;23;1;2019;0
14;662.482;-4.6;1000;0;23;1;2019;0
15;659.108;-6.0;1000;0;23;1;2019;0
16;660.511;-6.0;1000;0;23;1;2019;0
17;658.353;-6.0;1000;0;23;1;2019;0
18;679.183;-8.8;1000;0;23;1;2019;0
19;694.077;-8.8;1000;0;23;1;2019;0
20;681.693;-8.8;1000;0;23;1;2019;0
21;669.869;-10.2;1000;0;23;1;2019;0
22;648.119;-10.2;1000;0;23;1;2019;0
23;614.727;-10.2;1000;0;23;1;2019;0
0;567.896;-11.2;1000;0;24;1;2019;0
1;528.417;-11.2;1000;0;24;1;2019;0
2;505.977;-11.2;1000;0;24;1;2019;0
3;498.0;-12.1;1000;0;24;1;2019;0
4;491.876;-12.1;1000;0;24;1;2019;0
5;493.395;-12.1;1000;0;24;1;2019;0
6;510.758;-12.2;1000;0;24;1;2019;0
7;561.231;-12.2;1000;0;24;1;2019;0
8;624.817;-12.2;1000;0;24;1;2019;0
9;664.008;-10.4;1000;0;24;1;2019;0
10;693.076;-10.4;1000;0;24;1;2019;0
11;706.64;-10.4;1000;0;24;1;2019;0
12;700.189;-7.3;1000;0;24;1;2019;0
13;685.058;-7.3;1000;0;24;1;2019;0
14;679.882;-7.3;1000;0;24;1;2019;0
15;672.849;-7.3;1000;0;24;1;2019;0
